01.12.05;;5.9;6.3;6.9;6.7;6.8;7.01
02.12.05;;5.8;6.3;6.89166666666667;6.7225;6.79;7.01
03.12.05;;5.81263157894737;6.3;6.88333333333333;6.745;6.78;7.01
04.12.05;;5.82526315789474;6.3;6.875;6.7675;6.785;7.01
05.12.05;;5.83789473684211;6.3;6.86666666666667;6.79;6.79;7.01
06.12.05;;5.85052631578947;6.3;6.85833333333333;6.78;6.795;7.01
07.12.05;;5.86315789473684;6.3;6.85;6.77;6.8;7.01
08.12.05;;5.87578947368421;6.3;6.84166666666667;6.76;6.805;7.01
09.12.05;;5.88842105263158;6.3;6.83333333333333;6.75;6.81;7.01
10.12.05;;5.90105263157895;6.3;6.825;6.74;6.815;7.01
11.12.05;;5.91368421052632;6.3;6.81666666666667;6.73;6.82;7.01
12.12.05;;5.92631578947368;6.3;6.80833333333333;6.72;6.825;7.01
13.12.05;;5.93894736842105;6.3;6.8;6.745;6.83;7.01
14.12.05;;5.95157894736842;6.3;6.8;6.77;6.835;7.01
15.12.05;;5.96421052631579;6.3;6.8;6.795;6.84;7.01
16.12.05;;5.97684210526316;6.3;6.8;6.82;6.845;7.00666666666667
17.12.05;;5.98947368421053;6.3;6.8;6.845;6.85;7.00333333333333
18.12.05;;6.00210526315789;6.3;6.8;6.87;6.85636363636364;7
19.12.05;;6.01473684210526;6.3;6.8;6.72285714285714;6.86272727272727;6.99666666666667
20.12.05;;6.02736842105263;6.3;6.80136363636364;6.57571428571429;6.86909090909091;6.99333333333333
21.12.05;;6.04;6.3;6.80272727272727;6.42857142857143;6.87545454545455;6.99
22.12.05;;6.04571428571428;6.3;6.80409090909091;6.28142857142857;6.88181818181818;6.98666666666667
23.12.05;;6.05142857142857;6.31666666666667;6.80545454545455;6.13428571428572;6.88818181818182;6.98333333333333
24.12.05;;6.05714285714286;6.33333333333333;6.80681818181818;5.98714285714286;6.89454545454545;6.98
25.12.05;;6.06285714285714;6.35;6.80818181818182;5.84;6.90090909090909;6.97666666666667
26.12.05;;6.06857142857143;6.36666666666667;6.80954545454546;5.896;6.90727272727273;6.97333333333333
27.12.05;;6.07428571428571;6.38333333333333;6.81090909090909;5.952;6.91363636363636;6.97
28.12.05;;6.08;6.4;6.81227272727273;6.008;6.92;6.979375
29.12.05;;6.08571428571429;6.38916666666667;6.81363636363636;6.064;6.91294117647059;6.98875
30.12.05;;6.09142857142857;6.37833333333333;6.815;6.12;6.90588235294118;6.998125
31.12.05;;6.09714285714286;6.3675;6.81636363636364;6.176;6.89882352941176;7.0075
01.01.06;;6.10285714285714;6.35666666666667;6.81772727272727;6.232;6.89176470588235;7.016875
02.01.06;;6.10857142857143;6.34583333333333;6.81909090909091;6.288;6.88470588235294;7.02625
03.01.06;;6.11428571428571;6.335;6.82045454545455;6.344;6.87764705882353;7.035625
04.01.06;;6.12;6.32416666666667;6.82181818181818;6.4;6.87058823529412;7.045
05.01.06;;6.12571428571429;6.31333333333333;6.82318181818182;6.456;6.86352941176471;7.054375
06.01.06;;6.13142857142857;6.3025;6.82454545454545;6.512;6.85647058823529;7.06375
07.01.06;;6.13714285714286;6.29166666666667;6.82590909090909;6.568;6.84941176470588;7.073125
08.01.06;;6.14285714285714;6.28083333333333;6.82727272727273;6.624;6.84235294117647;7.0825
09.01.06;;6.14857142857143;6.27;6.82863636363636;6.68;6.83529411764706;7.091875
10.01.06;;6.15428571428572;6.27888888888889;6.83;6.68833333333333;6.82823529411765;7.10125
11.01.06;;6.16;6.28777777777778;6.82785714285714;6.69666666666667;6.82117647058824;7.110625
12.01.06;;6.145;6.29666666666667;6.82571428571429;6.705;6.81411764705882;7.12
13.01.06;;6.13;6.30555555555556;6.82357142857143;6.71333333333333;6.80705882352941;7.10923076923077
14.01.06;;6.115;6.31444444444444;6.82142857142857;6.72166666666667;6.8;7.09846153846154
15.01.06;;6.1;6.32333333333333;6.81928571428571;6.73;6.8;7.08769230769231
16.01.06;;6.085;6.33222222222222;6.81714285714286;6.73;6.8;7.07692307692308
17.01.06;;6.07;6.34111111111111;6.815;6.73;6.8;7.06615384615385
18.01.06;;6.055;6.35;6.81285714285714;6.73;6.8;7.05538461538462
19.01.06;;6.04;6.3471875;6.81071428571429;6.73;6.8;7.04461538461539
20.01.06;;6.025;6.344375;6.80857142857143;6.73;6.8;7.03384615384615
21.01.06;;6.01;6.3415625;6.80642857142857;6.73;6.8;7.02307692307692
22.01.06;;5.995;6.33875;6.80428571428571;6.73;6.8;7.01230769230769
23.01.06;;5.98;6.3359375;6.80214285714286;6.72625;6.8;7.00153846153846
24.01.06;;5.965;6.333125;6.8;6.7225;6.8;6.99076923076923
25.01.06;;5.95;6.3303125;6.805;6.71875;6.8;6.98
26.01.06;;5.95;6.3275;6.81;6.715;6.8;6.97590909090909
27.01.06;;5.95;6.3246875;6.815;6.71125;6.80777777777778;6.97181818181818
28.01.06;;5.95;6.321875;6.82;6.7075;6.81555555555556;6.96772727272727
29.01.06;;5.95;6.3190625;6.825;6.70375;6.82333333333333;6.96363636363637
30.01.06;;5.95;6.31625;6.83;6.7;6.83111111111111;6.95954545454546
31.01.06;;5.95;6.3134375;6.835;6.70571428571429;6.83888888888889;6.95545454545455
01.02.06;;5.95;6.310625;6.84;6.71142857142857;6.84666666666667;6.95136363636364
02.02.06;;5.95;6.3078125;6.845;6.71714285714286;6.85444444444445;6.94727272727273
03.02.06;;5.95;6.305;6.85;6.72285714285714;6.86222222222222;6.94318181818182
04.02.06;;5.95;6.3021875;6.855;6.72857142857143;6.87;6.93909090909091
