05.03.20;26;0.31;81
10.03.20;18;0.32;58
15.03.20;12;0.3;36
20.03.20;8;0.37;30
25.03.20;11;0.19;21
31.03.20;;;
20.12.20;15;0.14;21
20.01.21;40;0.16;64
31.01.21;45;0.21;95
10.02.21;57;0.2;114
20.02.21;71;0.21;149
28.02.21;81;0.22;178
05.03.21;76;0.21;160
10.03.21;78;0.22;172
15.03.21;80;0.23;184
20.03.21;76;0.24;182
25.03.21;75;0.26;195
31.03.21;64;0.28;179
05.04.21;52;0.28;146
10.04.21;40;0.27;108
15.04.21;22;0.28;62
20.04.21;8;0.28;22
24.04.21;;;
20.12.21;15;0.14;21
