01.12.05;;95;94;96
02.12.05;;94.75;94;94.8
03.12.05;;94.5;93.7142857142857;93.6
04.12.05;;94.25;93.4285714285714;92.4
05.12.05;;94;93.1428571428571;91.2
06.12.05;;94;92.8571428571429;90
07.12.05;;94;92.5714285714286;90.1111111111111
08.12.05;;94;92.2857142857143;90.2222222222222
09.12.05;;94;92;90.3333333333333
10.12.05;;94;92;90.4444444444444
11.12.05;;94;92;90.5555555555556
12.12.05;;94;92;90.6666666666667
13.12.05;;94;92;90.7777777777778
14.12.05;;94;92;90.8888888888889
15.12.05;;94;92;91
16.12.05;;94;92;91
17.12.05;;94;92;91
18.12.05;;94;92.0909090909091;91
19.12.05;;94;92.1818181818182;91
20.12.05;;94;92.2727272727273;91
21.12.05;;94;92.3636363636364;91
22.12.05;;94;92.4545454545455;91
23.12.05;;94;92.5454545454546;91
24.12.05;;94;92.6363636363636;91
25.12.05;;94;92.7272727272727;91
26.12.05;;93.9333333333333;92.8181818181818;91
27.12.05;;93.8666666666667;92.9090909090909;91
28.12.05;;93.8;93;90.4375
29.12.05;;93.7333333333333;92.7647058823529;89.875
30.12.05;;93.6666666666667;92.5294117647059;89.3125
31.12.05;;93.6;92.2941176470588;88.75
01.01.06;;93.5333333333333;92.0588235294118;88.1875
02.01.06;;93.4666666666667;91.8235294117647;87.625
03.01.06;;93.4;91.5882352941177;87.0625
04.01.06;;93.3333333333333;91.3529411764706;86.5
05.01.06;;93.2666666666667;91.1176470588235;85.9375
06.01.06;;93.2;90.8823529411765;85.375
07.01.06;;93.1333333333333;90.6470588235294;84.8125
08.01.06;;93.0666666666667;90.4117647058824;84.25
09.01.06;;93;90.1764705882353;83.6875
10.01.06;;92.8333333333333;89.9411764705882;83.125
11.01.06;;92.6666666666667;89.7058823529412;82.5625
12.01.06;;92.5;89.4705882352941;82
13.01.06;;92.3333333333333;89.2352941176471;82.5384615384615
14.01.06;;92.1666666666667;89;83.0769230769231
15.01.06;;92;89.4285714285714;83.6153846153846
16.01.06;;92.5714285714286;89.8571428571429;84.1538461538462
17.01.06;;93.1428571428571;90.2857142857143;84.6923076923077
18.01.06;;93.7142857142857;90.7142857142857;85.2307692307692
19.01.06;;94.2857142857143;91.1428571428571;85.7692307692308
20.01.06;;94.8571428571429;91.5714285714286;86.3076923076923
21.01.06;;95.4285714285714;92;86.8461538461538
22.01.06;;96;92.4285714285714;87.3846153846154
23.01.06;;95.5;92.8571428571429;87.9230769230769
24.01.06;;95;93.2857142857143;88.4615384615385
25.01.06;;94.5;93.7142857142857;89
26.01.06;;94;94.1428571428572;89.1818181818182
27.01.06;;93.5;94.5714285714286;89.3636363636364
28.01.06;;93;95;89.5454545454546
29.01.06;;92.5;94.5789473684211;89.7272727272727
30.01.06;;92;94.1578947368421;89.9090909090909
31.01.06;;92;93.7368421052632;90.0909090909091
01.02.06;;92;93.3157894736842;90.2727272727273
02.02.06;;92;92.8947368421053;90.4545454545455
03.02.06;;92;92.4736842105263;90.6363636363636
04.02.06;;92;92.0526315789474;90.8181818181818
05.02.06;;92;91.6315789473684;91
06.02.06;;92;91.2105263157895;91.1818181818182
07.02.06;;92.3333333333333;90.7894736842105;91.3636363636364
08.02.06;;92.6666666666667;90.3684210526316;91.5454545454546
09.02.06;;93;89.9473684210526;91.7272727272727
10.02.06;;93.3333333333333;89.5263157894737;91.9090909090909
11.02.06;;93.6666666666667;89.1052631578947;92.0909090909091
12.02.06;;94;88.6842105263158;92.2727272727273
13.02.06;;93.7142857142857;88.2631578947369;92.4545454545455
14.02.06;;93.4285714285714;87.8421052631579;92.6363636363636
15.02.06;;93.1428571428571;87.421052631579;92.8181818181818
16.02.06;;92.8571428571429;87;93
17.02.06;;92.5714285714286;86.3333333333333;93.25
18.02.06;;92.2857142857143;85.6666666666667;93.5
19.02.06;;92;85;93.75
20.02.06;;92;84.3333333333333;94
21.02.06;;92;83.6666666666667;94.25
22.02.06;;92;83;94.5
23.02.06;;92;82.3333333333333;94.75
24.02.06;;92;81.6666666666667;95
25.02.06;;92;81;94.8333333333333
26.02.06;;92;81.4615384615385;94.6666666666667
27.02.06;;92;81.9230769230769;94.5
28.02.06;;91.8333333333333;82.3846153846154;94.3333333333333
01.03.06;;91.6666666666667;82.8461538461539;94.1666666666667
02.03.06;;91.5;83.3076923076923;94
03.03.06;;91.3333333333333;83.7692307692308;94
04.03.06;;91.1666666666667;84.2307692307692;94
05.03.06;;91;84.6923076923077;94
06.03.06;;91.3333333333333;85.1538461538462;94
07.03.06;;91.6666666666667;85.6153846153846;94
08.03.06;;92;86.0769230769231;94
09.03.06;;92.3333333333333;86.5384615384616;94
10.03.06;;92.6666666666667;87;94
11.03.06;;93;86.5;93.9230769230769
12.03.06;;93.5714285714286;86;93.8461538461538
13.03.06;93;94.1428571428571;85.5;93.7692307692308
14.03.06;92.625;94.7142857142857;85;93.6923076923077
15.03.06;92.25;95.2857142857143;84.5;93.6153846153846
16.03.06;91.875;95.8571428571429;84;93.5384615384615
17.03.06;91.5;96.4285714285714;83.5;93.4615384615385
18.03.06;91.125;97;83;93.3846153846154
19.03.06;90.75;97;84.7142857142857;93.3076923076923
20.03.06;90.375;97;86.4285714285714;93.2307692307692
21.03.06;90;97;88.1428571428571;93.1538461538462
22.03.06;90.5;97;89.8571428571428;93.0769230769231
23.03.06;91;97;91.5714285714286;93
24.03.06;91.5;97;93.2857142857143;93.1666666666667
25.03.06;92;97;95;93.3333333333333
26.03.06;92.5;97;94.6666666666666;93.5
27.03.06;93;97;94.3333333333333;93.6666666666667
